distance,elevation
172.723854819768,-2276.25732421875
173.733935842105,-2276.33862304687
174.744016864443,-2276.4326171875
175.754097886781,-2276.17260742187
176.764178909119,-2276.373046875
177.774259931457,-2276.53857421875
178.784340953794,-2276.37817382812
179.794421976132,-2276.08520507812
180.80450299847,-2276.05126953125
181.814584020808,-2276.05224609375
182.824665043146,-2276.08911132813
183.834746065484,-2276.044921875
184.844827087821,-2276.0810546875
185.854908110159,-2276.33544921875
186.864989132497,-2276.41528320312
187.875070154835,-2276.89990234375
188.885151177173,-2276.96435546875
189.895232199511,-2276.92065429687
190.905313221848,-2276.69970703125
191.915394244186,-2276.5791015625
192.925475266524,-2276.43212890625
193.935556288862,-2276.21166992187
194.9456373112,-2275.6962890625
195.955718333537,-2275.6376953125
196.965799355875,-2275.759765625
